a52dec 0.7.4-9
ntfs-3g 2017.3.23-1
ntp 4.2.8.p10-2
numix-circle-icon-theme-git 0.r16.5a11140-1
numix-icon-theme-git 0.r1945.5890eebcf-1
numlockx 1.2-3
nvidia-utils 1:375.66-1
ocl-icd 2.2.11-1
openal 1.18.0-2
openconnect 1:7.08-1
opencore-amr 0.1.5-1
openexr 2.2.0-3
openjpeg 1.5.2-1
openjpeg2 2.1.2-2
openresolv 3.9.0-1
openssh 7.5p1-2
openssl 1.1.0.f-1.1
openssl-1.0 1.0.2.l-1
openvpn 2.4.3-2
opus 1.2.1-1
orc 0.4.27-1
os-prober 1.75-1
p11-kit 0.23.7-1
p7zip 16.02-3
package-query 1.8-1
pacli 0.10-3
pacman 5.0.2-2
pacman-mirrors 4.2.0-4
pam 1.3.0-1
pamac 4.3.7-1
pambase 20130928-1
pango 1.40.7-1
pangomm 2.40.1-2
parted 3.2-5
patch 2.7.5-1
pcaudiolib r34.af7edad-1
pciutils 3.5.4-1
pcmciautils 018-7
pcre 8.41-1
pcre2 10.23-1
pcsclite 1.8.22-1
perl 5.26.0-1
perl-clone 0.39-2
perl-dbi 1.636-3
perl-error 0.17024-2
perl-parse-yapp 1.05-7
perl-xml-libxml 2.0129-2
perl-xml-namespacesupport 1.12-2
perl-xml-parser 2.44-4
perl-xml-sax 0.99-5
perl-xml-sax-base 1.09-2
phonon-qt5 4.9.1-4
phonon-qt5-gstreamer 4.9.0-3
pidgin 2.12.0-2
pinentry 1.0.0-1
pixman 0.34.0-1
pkcs11-helper 1.22-2
pkg-config 0.29.2-1
pluma 1.18.2-1
plymouth-legacy 0.8.8-3
plymouth-theme-manjaro-elegant 2.0-2
polkit 0.113+29+g3272a98-1
polkit-qt5 0.112.0+git20160226-1
poppler 0.56.0-1
poppler-glib 0.56.0-1
popt 1.16-9
postgresql 9.6.3-3
postgresql-libs 9.6.3-3
powershell 6.0.0.beta.3-2
powertop 2.9-1
ppp 2.4.7-2
pptpclient 1.8.0-2
procps-ng 3.3.12-1
proot 5.1.0-3
protobuf 3.3.2-1
protobuf-c 1.2.1-6
psmisc 23.1-1
pulseaudio 10.0-3
pulseaudio-alsa 2-3
pulseaudio-bluetooth 10.0-3
pulseaudio-ctl 1.61-1
pulseaudio-zeroconf 10.0-3
pygobject-devel 3.24.1-1
pygobject2-devel 2.28.6-13
pygtk 2.24.0-7
pyqt5-common 5.9-1
python 3.6.2-1
python-appdirs 1.4.3-1
python-asn1crypto 0.22.0-1
python-cairo 1.13.3-1
python-cffi 1.10.0-1
python-chardet 3.0.4-1
python-configobj 5.0.6-3
python-cryptography 2.0-1
python-dbus 1.2.4-2
python-dbus-common 1.2.4-2
python-docutils 0.13.1-2
python-gobject 3.24.1-1
